LocationID,xf,yf
0,305,418
1,639,451
2,587,184
3,576,397
4,372,345
5,453,138
6,388,481
7,556,384
8,678,113
9,638,102
10,558,491
11,391,412
12,160,260
13,207,303
14,505,479
15,343,312
16,195,431
17,217,320
18,461,451
19,325,304
